stemming
['air', 'terjun', 'bagus', 'tiket', 'masuk', 'murah', 'ribu', 'orang', 'air', 'terjun', 'jernih', 'langsung', 'berangan', 'laut']
['tempat', 'bagus', 'air', 'terjun', 'atas', 'rest', 'area', 'parkir', 'ribu', 'masuk', 'ribu']
['bagus']
['mantap']
['pandang', 'indah', 'adem', 'suasanyanya', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'musim', 'hujan']
['wisata', 'keren', 'recomended', 'banget', 'kunjung', 'kuliner', 'es', 'degan', 'move', 'on', 'mantan']
['restoran', 'harga', 'murah', 'pas', 'poin', 'hati', 'lokasi', 'air', 'terjun', 'jalan', 'licin', 'dusim', 'hujan']
['habis', 'hujan', 'air', 'keruh']
['pantau']
['pandang', 'eksotis', 'pinggir', 'laut']
['oke']
['indah', 'tempat', 'bersih', 'kelola', 'kesini', 'musim', 'kemarau', 'alir', 'air', 'terjun', 'deras', 'warna', 'tosca', 'cafe', 'att', 'sedia', 'menu', 'masakan', 'view', 'pantai', 'indah']
['bagus', 'banget', 'lokasi', 'sampang', 'kota', 'jam', 'tempuh', 'mobil', 'tiket', 'masuk', 'ribu', 'orang', 'parkir', 'mobil', 'ribu', 'makan', 'view', 'bagus', 'makan', 'enak', 'rekomendasi', 'ikan', 'bakar', 'ikan', 'bumbu']
['view', 'air', 'terjun', 'bagus']
['view', 'bagus', 'pas', 'sowrey']
['spot', 'lokasi', 'wisata', 'wajib', 'kunjung', 'kunjung', 'pulau', 'madura']
['desa', 'karang', 'anyar', 'bangkit']
['pandang', 'bagus', 'madu', 'air', 'terjun', 'laut', 'harga', 'tiket', 'masuk', 'murah', 'orang', 'awat', 'kembang', 'sampah', 'harga', 'parkir', 'mahal', 'ukur', 'wisata', 'obyek', 'motor', 'r', 'sila', 'lupa', 'like']
['november', 'unik', 'air', 'terjun', 'pinggir', 'laut', 'saran', 'lihat', 'air', 'bagus', 'jernih', 'kunjung', 'kesini', 'pas', 'musim']
['wisata', 'air', 'terjun', 'toro', 'air', 'sungai', 'langsung', 'terjun', 'laut', 'tempat', 'awat', 'bagus', 'lihat']
['air', 'terjun', 'indah', 'langsung', 'jatuh', 'tepi', 'pantai', 'utara', 'pulau', 'madura']
['viewnya', 'bagus', 'tempat', 'nyaman', 'family', 'time', 'makan', 'enaak']
['tempat', 'bagus', 'gaes', 'musim', 'hujan', 'musim', 'hujan', 'air', 'coklat', 'bening', 'gaesss']
['bagus', 'baik', 'sampah', 'mari', 'kurang', 'guna', 'plastik', 'thanks']
['santai', 'kelurga', 'kerabat', 'nuasa', 'alam', 'indah', 'pandang']
['indah', 'bersih', 'jaga']
['pasti', 'kesini', 'pas', 'air', 'pasang', 'keren']
['tempat', 'bagus', 'cocok', 'wisata', 'keluarga']
['indah', 'cocok', 'banget', 'wisatawan', 'manja', 'mata', 'pandang', 'indah', 'air', 'terjun', 'beda', 'gunung', 'tepi', 'pantai']
['bagus', 'viewnya', 'tulis', 'toro', 'air', 'terjun', 'untuj', 'fotografer', 'capture', 'air', 'terjun', 'ganggu', 'icon', 'tulis', 'toilet', 'sedia']
['alami', 'sbagus', 'eksotik', 'nyaman', 'santa', 'tiket', 'masuk', 'ribu', 'lokasi', 'air', 'terjun']
['salah', 'kesana', 'tempat', 'bagus', 'ekspektasi', 'sana', 'saran', 'main', 'air', 'dar', 'objek', 'foto']
['air', 'terjun', 'toro', 'adalan', 'wisata', 'alam', 'madura', 'bagus', 'sentuh', 'tangan', 'pofesional', 'investor', 'kembang', 'bagus']
['bagus', 'selfi', 'alami', 'latar', 'airterjun', 'keren', 'renang']
['view', 'indah', 'tawan', 'sayang', 'awat', 'harap', 'depan', 'air', 'terjun', 'toro', 'rawat', 'pemkab', 'swasta', 'asli', 'daerah']
['bagus', 'viewnya', 'sayang', 'bersih', 'air', 'pantai', 'jaga']
['bagus', 'tarik', 'sayang', 'sampah', 'pantai', 'air', 'terjun']
['panorama', 'bagus', 'kreativitas', 'tambah', 'area', 'pantai', 'tambah', 'fasilitas']
['bagus', 'banget', 'spot', 'foto', 'instagram', 'obyek', 'bagus', 'unik']
['bagus', 'langsung', 'jorok', 'laut']
['bagus', 'foto', 'prewedding']
['indah', 'jelang', 'matahari', 'benam']
['cantik', 'eksotis', 'air', 'terjun', 'air', 'tawar', 'langsung', 'depan', 'ombak', 'pantai']
['indah', 'air', 'terjun', 'mengalirr', 'sok', 'beautyfull']
['bagus']
['bagus', 'musim', 'kemarau', 'air', 'bening']
['pandang', 'laut', 'bagus']
['objek', 'wisata', 'keren']
['pandang', 'indah']
['bagus', 'pandang']
['indah']
['murah', 'riah', 'kadang', 'gratis']
['bagus', 'pandang']
['bagus', 'sayang']
['keren', 'pokok']
['bagus']
['keren']
['indah', 'banget']
['bagus']
['indah']
['pandang', 'indah']
['bagus']
['bagus']
['indah']
['strategis', 'cantik']
['pandang', 'bagus', 'alami', 'kelola', 'baik']
['pandang', 'bagus', 'matahari', 'utara']
['lumayan', 'salah', 'destinasi', 'favorit', 'hunting', 'foto', 'landscape', 'pulau', 'madura']
['tiket', 'masuk', 'ribu', 'orang', 'anak', 'free', 'batu', 'karang', 'air', 'air', 'terjun', 'keruh']
