stopword
['air', 'terjun', 'bagus', 'tiket', 'masuk', 'murah', 'ribu', 'orang', 'air', 'terjunnya', 'jernih', 'langsung', 'berseberangan', 'laut']
['tempatnya', 'bagus', 'air', 'terjun', 'diatasnya', 'rest', 'area', 'parkir', 'ribu', 'masuk', 'ribu']
['bagus']
['mantap']
['pemandangan', 'indah', 'adem', 'suasanyanya', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'musim', 'hujan']
['wisata', 'keren', 'recomended', 'banget', 'dikunjungi', 'kuliner', 'es', 'degannya', 'move', 'on', 'mantan']
['restorannya', 'harga', 'murah', 'pas', 'poin', 'hati', 'lokasi', 'air', 'terjunnya', 'jalan', 'licin', 'dusim', 'hujan']
['habis', 'hujan', 'airnya', 'keruh']
['terpantau']
['pemandangan', 'eksotis', 'pinggir', 'laut']
['oke']
['indah', 'tempatnya', 'bersih', 'dikelola', 'kesini', 'musim', 'kemarau', 'aliran', 'air', 'terjunnya', 'deras', 'berwarna', 'tosca', 'cafe', 'att', 'menyediakan', 'menu', 'masakan', 'view', 'pantai', 'indah']
['bagus', 'banget', 'lokasi', 'sampang', 'kota', 'jam', 'tempuh', 'mobil', 'tiket', 'masuk', 'ribu', 'orang', 'parkir', 'mobil', 'ribu', 'makan', 'view', 'bagus', 'makanan', 'enak', 'rekomendasi', 'ikan', 'bakar', 'ikan', 'bumbu']
['view', 'air', 'terjunnya', 'bagus']
['view', 'bagus', 'pas', 'sowrey']
['spot', 'lokasi', 'wisata', 'wajib', 'kunjung', 'berkunjung', 'pulau', 'madura']
['desa', 'karang', 'anyar', 'bangkit']
['pemandangan', 'bagus', 'memadukan', 'air', 'terjun', 'laut', 'harga', 'tiket', 'masuknya', 'murah', 'orang', 'perawatan', 'pengembangannya', 'sampah', 'harga', 'parkir', 'mahal', 'ukuran', 'wisata', 'obyek', 'motor', 'r', 'silakan', 'lupa', 'like']
['november', 'unik', 'air', 'terjun', 'pinggir', 'laut', 'saran', 'lihat', 'airnya', 'bagus', 'jernih', 'berkunjung', 'kesini', 'pas', 'musim']
['wisata', 'air', 'terjun', 'toroan', 'airnya', 'sungai', 'langsung', 'terjun', 'laut', 'tempatnya', 'terawat', 'bagus', 'dilihatnya']
['air', 'terjun', 'indah', 'langsung', 'jatuh', 'tepi', 'pantai', 'utara', 'pulau', 'madura']
['viewnya', 'bagus', 'tempatnya', 'nyaman', 'family', 'time', 'makanannya', 'enaak']
['tempatnya', 'bagus', 'gaes', 'musim', 'penghujan', 'musim', 'hujan', 'airnya', 'coklat', 'bening', 'gaesss']
['bagus', 'perbaiki', 'sampah', 'mari', 'kurangi', 'penggunaan', 'plastik', 'thanks']
['santai', 'kelurga', 'kerabat', 'nuasa', 'alam', 'indah', 'dipandang']
['indah', 'kebersihan', 'terjaga']
['pastikan', 'kesini', 'pas', 'air', 'pasang', 'keren']
['tempatnya', 'bagus', 'cocok', 'wisata', 'keluarga']
['indah', 'cocok', 'banget', 'wisatawan', 'memanjakan', 'mata', 'pemandangan', 'indah', 'air', 'terjunnya', 'beda', 'pegunungan', 'tepi', 'pantai']
['bagus', 'viewnya', 'tulisan', 'toroan', 'air', 'terjun', 'untuj', 'fotografer', 'capture', 'air', 'terjun', 'terganggu', 'icon', 'tulisan', 'toilet', 'tersedia']
['alami', 'sbagus', 'eksotik', 'nyaman', 'bersantai', 'tiket', 'masuk', 'ribu', 'lokasi', 'air', 'terjun']
['salah', 'kesana', 'tempatnya', 'sebagus', 'ekspektasi', 'disana', 'disarankan', 'bermain', 'air', 'sekedar', 'objek', 'foto']
['air', 'terjun', 'toroan', 'adalan', 'wisata', 'alam', 'madura', 'bagus', 'sentuhan', 'tangan', 'pofesional', 'investor', 'pengembangannya', 'bagus']
['bagus', 'selfi', 'alami', 'latar', 'airterjun', 'keren', 'berenang']
['view', 'indah', 'menawan', 'sayang', 'perawatan', 'berharap', 'kedepannya', 'air', 'terjun', 'toroan', 'dirawat', 'pemkab', 'swasta', 'asli', 'daerah']
['bagus', 'viewnya', 'sayang', 'kebersihan', 'air', 'pantainya', 'terjaga']
['bagus', 'menarik', 'sayangnya', 'sampah', 'pantai', 'air', 'terjunnya']
['panoramanya', 'bagus', 'kreativitas', 'penambahan', 'area', 'pantai', 'penambahan', 'fasilitas']
['bagus', 'banget', 'spot', 'foto', 'instagram', 'obyeknya', 'bagus', 'unik']
['bagus', 'langsung', 'menjorok', 'lautan']
['bagus', 'foto', 'prewedding']
['indah', 'menjelang', 'matahari', 'terbenam']
['cantik', 'eksotis', 'air', 'terjun', 'air', 'tawar', 'langsung', 'didepan', 'ombak', 'pantai']
['keindahan', 'air', 'terjun', 'mengalirr', 'sok', 'beautyfull']
['bagus']
['bagus', 'musim', 'kemarau', 'airnya', 'bening']
['pemandangan', 'lautnya', 'bagus']
['objek', 'wisata', 'keren']
['pemandangannya', 'indah']
['bagus', 'pemandangan']
['indah']
['murah', 'meriah', 'kadang', 'gratis']
['bagus', 'pemandangannya']
['bagus', 'sayang']
['keren', 'pokoknya']
['bagus']
['keren']
['indah', 'banget']
['bagus']
['indah']
['pemandangan', 'indah']
['bagus']
['bagus']
['indah']
['strategis', 'cantik']
['pemandangan', 'bagus', 'alami', 'mengelola', 'terbaik']
['pemandangan', 'bagus', 'matahari', 'utara']
['lumayan', 'salah', 'destinasi', 'favorit', 'hunting', 'foto', 'landscape', 'pulau', 'madura']
['tiket', 'masuk', 'ribu', 'orang', 'anak', 'free', 'batu', 'karang', 'air', 'air', 'terjun', 'keruh']
['sengkok', 'oreng', 'ketapang', 'cong', 'dus', 'nodusih', 'rekomendasi']
