tokenize
['air', 'terjun', 'yang', 'bagus', 'tiket', 'masuk', 'murah', 'sekitar', 'ribu', 'per', 'orang', 'air', 'terjunnya', 'jernih', 'dan', 'langsung', 'berseberangan', 'dengan', 'laut']
['tempatnya', 'bagus', 'selain', 'air', 'terjun', 'diatasnya', 'jg', 'ada', 'rest', 'area', 'parkir', 'rb', 'masuk', 'rb', 'hari', 'biasa']
['bagus']
['mantap']
['pemandangan', 'yg', 'indah', 'adem', 'pula', 'suasanyanya', 'meskipun', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'hanya', 'ada', 'ketika', 'musim', 'hujan']
['tempat', 'wisata', 'yg', 'keren', 'dan', 'recomended', 'bgt', 'buat', 'dikunjungi', 'apalagi', 'kuliner', 'dan', 'es', 'degannya', 'yg', 'bner', 'bisa', 'buat', 'kita', 'move', 'on', 'dari', 'mantan']
['ada', 'restorannya', 'harga', 'murah', 'rasa', 'pas', 'aja', 'poin', 'hati', 'ke', 'lokasi', 'air', 'terjunnya', 'jalan', 'agak', 'licin', 'dusim', 'hujan']
['karena', 'habis', 'hujan', 'jadi', 'airnya', 'keruh']
['terpantau', 'masih', 'seperti', 'dulu']
['pemandangan', 'eksotis', 'pinggir', 'laut']
['oke']
['indah', 'sekali', 'tempatnya', 'bersih', 'dan', 'sudah', 'dikelola', 'dengan', 'baik', 'kesini', 'sewaktu', 'musim', 'kemarau', 'aliran', 'air', 'terjunnya', 'cukup', 'deras', 'dan', 'benar', 'berwarna', 'tosca', 'ada', 'cafe', 'att', 'yang', 'menyediakan', 'berbagai', 'menu', 'masakan', 'dengan', 'view', 'pantai', 'yang', 'indah']
['bagussss', 'banget', 'lokasi', 'nya', 'dari', 'sampang', 'kota', 'sekitar', 'jam', 'di', 'tempuh', 'dg', 'mobil', 'tiket', 'masuk', 'cuma', 'rb', 'org', 'parkir', 'mobil', 'rb', 'deket', 'sama', 'tempat', 'makan', 'view', 'nya', 'juga', 'bagus', 'makanan', 'nya', 'juga', 'enak', 'rekomendasi', 'ikan', 'bakar', 'sama', 'ikan', 'bumbu']
['untuk', 'view', 'air', 'terjunnya', 'bagus', 'sekalii']
['view', 'nya', 'bagus', 'sekali', 'apalagi', 'pas', 'sowrey']
['spot', 'lokasi', 'wisata', 'yang', 'wajib', 'kita', 'kunjung', 'ketika', 'berkunjung', 'ke', 'pulau', 'madura']
['desa', 'karang', 'anyar', 'bangkit']
['pemandangan', 'di', 'sini', 'bagus', 'karena', 'memadukan', 'air', 'terjun', 'dan', 'laut', 'harga', 'tiket', 'masuknya', 'murah', 'k', 'orang', 'tapi', 'perawatan', 'dan', 'pengembangannya', 'kurang', 'banyak', 'sampah', 'harga', 'parkir', 'juga', 'agak', 'mahal', 'untuk', 'ukuran', 'wisata', 'yang', 'hanya', 'satu', 'obyek', 'k', 'motor', 'r', 'kalau', 'ada', 'yang', 'mau', 'ditanya', 'silakan', 'jangan', 'lupa', 'like', 'juga']
['november', 'unik', 'jg', 'air', 'terjun', 'di', 'pinggir', 'laut', 'saran', 'saya', 'kalau', 'ingin', 'lihat', 'airnya', 'bagus', 'jernih', 'berkunjung', 'kesini', 'pas', 'musim']
['wisata', 'air', 'terjun', 'toroan', 'airnya', 'sungai', 'langsung', 'terjun', 'ke', 'laut', 'tempatnya', 'terawat', 'dan', 'bagus', 'dilihatnya']
['air', 'terjun', 'yang', 'indah', 'dan', 'langsung', 'jatuh', 'di', 'tepi', 'pantai', 'utara', 'pulau', 'madura']
['viewnya', 'bagus', 'tempatnya', 'jg', 'nyaman', 'buat', 'family', 'time', 'makanannya', 'jg', 'enaak']
['tempatnya', 'bagus', 'gaes', 'y', 'apalagi', 'klo', 'lgi', 'bukan', 'musim', 'penghujan', 'klo', 'lgi', 'musim', 'hujan', 'airnya', 'coklat', 'gk', 'bening', 'gaesss']
['bagusss', 'sekali', 'tapi', 'tetap', 'hal', 'yang', 'perlu', 'di', 'perbaiki', 'adalah', 'sampah', 'mari', 'kurangi', 'penggunaan', 'plastik', 'thanks']
['tempat', 'santai', 'bersama', 'kelurga', 'dan', 'kerabat', 'dengan', 'nuasa', 'alam', 'yang', 'sangat', 'indah', 'dipandang']
